Receipt, Ordinal, Item
18129, 1,  70-TU
51991, 1,  90-APIE-10
51991, 2,  90-CH-PF
51991, 3,  90-APP-11
51991, 4,  26-8x10
83085, 1,  25-STR-9
83085, 2,  24-8x10
83085, 3,  90-APR-PF
83085, 4,  51-ATW
83085, 5,  26-8x10
70723, 1,  45-CO
13355, 1,  24-8x10
13355, 2,  70-LEM
13355, 3,  46-11
52761, 1,  90-ALM-I
52761, 2,  26-8x10
52761, 3,  50-CHS
52761, 4,  90-BLK-PF
52761, 5,  90-ALM-I
99002, 1,  50-CHS
99002, 2,  45-VA
58770, 1,  50-CHS
58770, 2,  46-11
58770, 3,  45-CH
58770, 4,  20-CA-7.5
84665, 1,  90-BER-11